,弹幕内容
893,君指先跃动のは、私の一生不変の信仰に、唯私の超電磁炮永世永生き 你指尖跃动的电光，是我此生不变的信仰，唯我超电磁炮永世长存
894,君指先跃动のは、私の一生不変の信仰に、唯私の超電磁炮永世永生き 你指尖跃动的电光，是我此生不变的信仰，唯我超电磁炮永世长存
895,为了部落
896,为了部落
897,吸
898,为了部落
899,童年
900,____________________________________________________________________________________________________
901,为了部落
902,逮虾户
903,魔兽世界
904,我们有时冠军！
905,德玛西亚！
906,逮虾户
907,逮虾户
908,柯南
909,污妖王
910,66666
911,FPX
912,污妖王
913,巫妖王
914,FPX!
915,哈哈哈
916,哦哦哦哦哦哦哦哦哦哦
917,逮虾户
918,红
919,超超
920,补课
921,真相只有一个
922,中国红
923,排面
924,中国红
925,！！！！！！！！！！！！！！！！！！！！
926,为了德玛西亚的正义！！！！！
927,为了德玛西亚的正义
928,我是地瓜
929,网通二区S2老玩家报道！
930,此生不悔入华夏
931,德玛西亚S2玩家报道!!!!!!!
932,此生不悔入华夏
933,德玛西亚S2玩家报道！  ！！！！！
934,红
935,云飞兄，别来无恙啊
936,吸吸吸
937,4.4 太伤感了，过来缓解一下心情
938,00后的世界是League of Legend好吧
939,天下何人不通共
940,重庆大学报道
941,woc
942,再快的86也追不上你离去的速度。
943,中国加油！
944,吸
945,哈哈哈啊啊哈哈哈哈哈哈哈哈
946,、变红
947,全体起立！
948,啥时候把扣咱的炮给俺啊
949,没人认识这个观众玩世大仙吗?
950,中国军魂
951,我红了！
952,前面忘记换颜色了，再来一次祖国红
953,奶奶常说。
954,艾欧尼亚昂扬不灭。
955,4.4补课
956,吉珠的别走 这里是珠海一中
957,多说无益，折断的骨头是最好的课本。
958,第三季！
959,姜承録牛逼
960,我是牡丹
961,简自豪亚索0／10搞我。
962,此生无悔入华夏
963,陈乐一很有元气呀
964,自动变红
965,为了联盟！
966,0.5烧耳机
967,二刷
968,云龙兄，我那一个营的装备什么时候还
969,祖国万岁
970,FPXNB
971,4.4
972,4.4
973,我的童年又回来了
974,4.4补课
975,Deja vu！！！
976,哦哦哦哦哦哦哦
977,年轻万岁
978,这个男人怎么回事
979,哔哩哔哩跨年晚会事件
980,气氛逐渐孝顺起来
981,前方国家队预警
982,啊啊啊啊啊啊啊
983,中国加油
984,云飞兄，是你吗
985,0.5
986,啊啊啊
987,啊啊啊啊啊啊啊啊啊啊
988,小破站连国家队都能搬过来 你们说呢
989,真相只有一个
990,全体起立
991,下次一定
992,黑色玫瑰报道！
993,卡西欧瞩目
994,比尔吉沃特 你们的国王回来了
995,永别了，牢笼
996,这个故事还没有完结
997,4月4号哀悼日，英雄和同胞们走好
998,好瘦的熊猫
999,洛丹伦大孝子
1000,为了恕瑞玛
1001,霜之哀伤弯了
1002,4月来补课
1003,山西大学
1004,武工院报道~
1005,炉石传说、风暴英雄、守望先锋
1006,指挥好累好辛苦啊
1007,君指先跃动の光は、私の一生不変の信仰に、唯私の超電磁砲永世生き！
1008,来了来了
1009,bilibili
1010,你指尖跃动的电光，是我此生不变的信仰
1011,粉了粉了
1012,我红了吗
1013,我检讨，那天我去蹦迪了
1014,为了部落!!!!!
1015,淦！！！！
1016,猝不及防
1017,蝙蝠时代补课
1018,牛逼牛逼
1019,君指先跃动の光は、私の一生不変の信仰に、唯私の超電磁砲永世生き
1020,红红
